best_cost,alpha,beta,reduction_rate,k_update,colony_size
2700,0.2,0.2,0.1,5,50
2094,0.2,0.2,0.5,5,50
2194,0.2,0.2,0.9,5,50
2626,0.2,0.5,0.1,5,50
2085,0.2,0.5,0.5,5,50
2164,0.2,0.5,0.9,5,50
2240,0.2,0.8,0.1,5,50
2085,0.2,0.8,0.5,5,50
2104,0.2,0.8,0.9,5,50
2443,0.5,0.2,0.1,5,50
2155,0.5,0.2,0.5,5,50
2224,0.5,0.2,0.9,5,50
2266,0.5,0.5,0.1,5,50
2085,0.5,0.5,0.5,5,50
2178,0.5,0.5,0.9,5,50
2199,0.5,0.8,0.1,5,50
2088,0.5,0.8,0.5,5,50
2141,0.5,0.8,0.9,5,50
2094,0.8,0.2,0.1,5,50
2131,0.8,0.2,0.5,5,50
2185,0.8,0.2,0.9,5,50
2104,0.8,0.5,0.1,5,50
2103,0.8,0.5,0.5,5,50
2296,0.8,0.5,0.9,5,50
2149,0.8,0.8,0.1,5,50
2158,0.8,0.8,0.5,5,50
2090,0.8,0.8,0.9,5,50
2660,0.2,0.2,0.1,15,50
2270,0.2,0.2,0.5,15,50
2090,0.2,0.2,0.9,15,50
2624,0.2,0.5,0.1,15,50
2096,0.2,0.5,0.5,15,50
2090,0.2,0.5,0.9,15,50
2234,0.2,0.8,0.1,15,50
2085,0.2,0.8,0.5,15,50
2120,0.2,0.8,0.9,15,50
2336,0.5,0.2,0.1,15,50
2085,0.5,0.2,0.5,15,50
2104,0.5,0.2,0.9,15,50
2373,0.5,0.5,0.1,15,50
2085,0.5,0.5,0.5,15,50
2090,0.5,0.5,0.9,15,50
2199,0.5,0.8,0.1,15,50
2090,0.5,0.8,0.5,15,50
2085,0.5,0.8,0.9,15,50
2288,0.8,0.2,0.1,15,50
2118,0.8,0.2,0.5,15,50
2171,0.8,0.2,0.9,15,50
2180,0.8,0.5,0.1,15,50
2118,0.8,0.5,0.5,15,50
2120,0.8,0.5,0.9,15,50
2096,0.8,0.8,0.1,15,50
2090,0.8,0.8,0.5,15,50
2196,0.8,0.8,0.9,15,50
2758,0.2,0.2,0.1,50,50
2513,0.2,0.2,0.5,50,50
2436,0.2,0.2,0.9,50,50
2599,0.2,0.5,0.1,50,50
2446,0.2,0.5,0.5,50,50
2181,0.2,0.5,0.9,50,50
2463,0.2,0.8,0.1,50,50
2281,0.2,0.8,0.5,50,50
2211,0.2,0.8,0.9,50,50
2520,0.5,0.2,0.1,50,50
2299,0.5,0.2,0.5,50,50
2206,0.5,0.2,0.9,50,50
2404,0.5,0.5,0.1,50,50
2116,0.5,0.5,0.5,50,50
